Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,Selection_Markers,Mod_Method,Mod_Direction
8131053.pdf,10.1111/pbi.13552,Oryza sativa,CRISPR/Cas9 knockout,"Decreased arabinose content, Improved saccharification efficiency",15.19% increase in saccharification efficiency (uxe1uxe2); 7.42% increase in saccharification efficiency (xat2xat3); 2.19% decrease in arabinose content (uxe1uxe2); 2.78% decrease in arabinose content (xat2xat3) | Arabinose content decreased; Saccharification efficiency increased by 15.19% (uxe1uxe2) and 7.42% (xat2xat3),,"Biofuel Precursors, Cell Wall Modification, Saccharification","OsUXE1, OsUXE2, OsUXE3, OsXAT2, OsXAT3",,CRISPR/Cas9,Knockdown/Out
8131053.pdf,10.1111/pbi.13552,Oryza sativa,CRISPR/Cas9 knockout,"Decreased arabinose content, Improved saccharification efficiency",15.19% increase in saccharification efficiency (uxe1uxe2); 7.42% increase in saccharification efficiency (xat2xat3); 2.19% decrease in arabinose content (uxe1uxe2); 2.78% decrease in arabinose content (xat2xat3) | Arabinose content decreased; Saccharification efficiency increased by 15.19% (uxe1uxe2) and 7.42% (xat2xat3),,"Biofuel Precursors, Photosynthesis","OsUXE1, OsUXE2, OsUXE3, OsXAT2, OsXAT3",,CRISPR/Cas9,Knockdown/Out
8139003.pdf,10.1186/s12870-021-02994-8,Nicotiana benthamiana,Virus-induced gene silencing (VIGS),Premature corolla senescence and altered abscission,Corolla length: 1.8 cm; Break strength: 9 gf | Corolla abscission: 18%; Break strength: 30 gf | Corolla abscission: 10%; Corolla breakstrength: 40 gf | Corolla abscission: 18%; Corolla breakstrength: 30 gf | Corolla length: 1.5 cm,,"Flowering, Above-Ground Biomass Property",NbenIDA1A,,VIGS,Knockdown/Out
8139003.pdf,10.1186/s12870-021-02994-8,Nicotiana benthamiana,Virus-induced gene silencing (VIGS),Premature corolla senescence and altered abscission,Corolla length: 1.8 cm; Break strength: 9 gf | Corolla abscission: 18%; Break strength: 30 gf | Corolla abscission: 10%; Corolla breakstrength: 40 gf | Corolla abscission: 18%; Corolla breakstrength: 30 gf | Corolla length: 1.5 cm,,"Flower Property, Flowering",NbenIDA1A,,VIGS,Knockdown/Out
8146367.pdf,10.3390/plants10050859,Nicotiana tabacum,Agrobacterium-mediated overexpression,increased abiotic stress tolerance,plant height: 34% taller; MnP activity: 10.87-fold increase; germination rate under 200 mM NaCl: 80%; RWC under drought: 75%,CaMV35S,"Drought Tolerance, Salt Tolerance, Oxidative Stress Tolerance",versatile peroxidase (VP),,Agrobacterium,Overexpression
8157609.pdf,10.3390/ijms22105299,Elsholtzia haichowensis,Agrobacterium-mediated transformation,Increased GUS activity under Cu stress,"GUS activity increased at 100 μM and 150 μM Cu²⁺ | Significantly higher (p < 0.05) in Cu-tolerant population | GUS activity significantly increased at 100 μM SA | No significant difference between mannitol treatment and control | GUS activity significantly induced by Fru, Glc, and Fru + Glc | Relative GUS activity under Cu2+ treatments: 0.3 μM (1.0); 25 μM (1.0); 50 μM (1.0); 100 μM (1.0); 150 μM (1.0); 200 μM (1.0); Sugar treatments: Sucrose (200 mM) (1.0); Glucose (200 mM) (1.0); Fructose (200 mM) (1.0); Fructose + Glucose (100 mM) (1.0); Mannitol (200 mM) (1.0); Hormone treatments: ABA (20 μM) (1.0); 6-BA (20 μM) (1.0); IAA (20 μM) (1.0); GA (20 μM) (1.0); ACC (100 μM) (1.0); MeJA (100 μM) (1.0); SA (100 μM) (1.0); Osmotic control (1.0)",EhCcwINVP and EhNcwINVP,"Above-Ground Biomass Property, Drought Tolerance",CWIN,GUS,Agrobacterium,Modification
8157609.pdf,10.3390/ijms22105299,Elsholtzia haichowensis,Agrobacterium-mediated transformation,Increased GUS activity under Cu stress,"GUS activity increased at 100 μM and 150 μM Cu²⁺ | Significantly higher (p < 0.05) in Cu-tolerant population | GUS activity significantly increased at 100 μM SA | No significant difference between mannitol treatment and control | GUS activity significantly induced by Fru, Glc, and Fru + Glc | Relative GUS activity under Cu2+ treatments: 0.3 μM (1.0); 25 μM (1.0); 50 μM (1.0); 100 μM (1.0); 150 μM (1.0); 200 μM (1.0); Sugar treatments: Sucrose (200 mM) (1.0); Glucose (200 mM) (1.0); Fructose (200 mM) (1.0); Fructose + Glucose (100 mM) (1.0); Mannitol (200 mM) (1.0); Hormone treatments: ABA (20 μM) (1.0); 6-BA (20 μM) (1.0); IAA (20 μM) (1.0); GA (20 μM) (1.0); ACC (100 μM) (1.0); MeJA (100 μM) (1.0); SA (100 μM) (1.0); Osmotic control (1.0)",EhCcwINVP and EhNcwINVP,"Drought Tolerance, Herbicide Resistance",CWIN,GUS,Agrobacterium,Modification
8160315.pdf,10.3389/fpls.2021.662684,Brassica oleracea var. alboglabra,VIGS-mediated gene silencing,"Decreased carotenoid and chlorophyll content, yellowing leaves, inhibited growth",Silencing efficiency: 52-77%; Lutein content: 2.0-3.0 mg/g DW; β-carotene content: 0.5-0.6 mg/g DW,,"Carotenoid Biosynthesis, Plant Transformation, Disease Resistance",BoaCRTISO,,VIGS,Knockdown/Out
8186459.pdf,10.3389/fpls.2021.678564,Arabidopsis thaliana,T-DNA insertional knockout,Reduced hypocotyl length; Reduced seedling leaf area,Hypocotyl length: 1.3 ± 0.1 mm (galt8) vs 1.6 ± 0.1 mm (WT); Leaf area: 1.78 ± 0.13 cm² (galt8) vs 2.19 ± 0.13 cm² (WT),,"Seedling Development, Above-Ground Biomass Property",GALT8,,Unknown,Knockdown/Out
8186459.pdf,10.3389/fpls.2021.678564,Arabidopsis thaliana,CRISPR/Cas9 knockout,Reduced hypocotyl length; Reduced seedling leaf area,Hypocotyl length: 1.3 ± 0.1 mm (galt8) vs 1.6 ± 0.1 mm (WT); Leaf area: 1.78 ± 0.13 cm² (galt8) vs 2.19 ± 0.13 cm² (WT),,"Seedling Development, Above-Ground Biomass Property",GALT8,,CRISPR/Cas9,Knockdown/Out
8189116.pdf,10.1080/21645698.2021.1934351,Zea mays,Agrobacterium-mediated transformation,Increased pest resistance; Herbicide tolerance,Cry1Ab content: 1.81 µg/g; Cry2Ab content: 0.31 µg/g; EPSPS content: 20.00 µg/g,,"Pest Resistance, Herbicide Resistance","cry1Ab, cry2Ab, maroACC",,Agrobacterium,Modification
8192573.pdf,10.1038/s41598-021-91763-6,Arabidopsis thaliana,Agrobacterium tumefaciens-mediated transformation,Reduced growth under low boron conditions,"Shoot fresh weight reduced by 50%; Boron concentration in plant tissue decreased by 30% | Boron efflux activity decreased by 80%; Intracellular boron levels increased by 40% | Shoot fresh weight restored to 95% of wild type; Boron concentration in plant tissue increased by 25% | Shoot fresh weight: WT (100%), D311A (60%), S466R (80%), A500R (60%)",,"Above-Ground Biomass Property, Nutrient Utilization",AtBOR1,,Agrobacterium,Modification
8192573.pdf,10.1038/s41598-021-91763-6,Arabidopsis thaliana,Agrobacterium tumefaciens-mediated transformation,Reduced growth under low boron conditions,"Shoot fresh weight reduced by 50%; Boron concentration in plant tissue decreased by 30% | Boron efflux activity decreased by 80%; Intracellular boron levels increased by 40% | Shoot fresh weight restored to 95% of wild type; Boron concentration in plant tissue increased by 25% | Shoot fresh weight: WT (100%), D311A (60%), S466R (80%), A500R (60%)",,"Nutrient Utilization, Material Precursors",AtBOR1,,Agrobacterium,Modification
8196653.pdf,10.1111/pbi.13532,Gossypium arboreum,Large-fragment insertion,Fuzzless seed phenotype; Reduced trichome development,"Leaf trichome count: 10; Seed fuzz count: 0 | Fuzzless phenotype occurrence: 100% | Leaf trichome count decreased by 5-fold; GaFZ expression increased >10,000-fold",,"Above-Ground Biomass Property, Biosensing, Leaf Property",GaFZ,,Unknown,Modification
8196653.pdf,10.1111/pbi.13532,Gossypium arboreum,Large-fragment insertion,Fuzzless seed phenotype; Reduced trichome development,"Leaf trichome count: 10; Seed fuzz count: 0 | Fuzzless phenotype occurrence: 100% | Leaf trichome count decreased by 5-fold; GaFZ expression increased >10,000-fold",,"Above-Ground Biomass Property, Leaf Property",GaFZ,,Unknown,Modification
8204146.pdf,10.1002/pld3.328,Oryza sativa,CRISPR/Cas9 knockout,Altered metaxylem vessel size and number,MXA/TSA: 10%-23% less in drought-treated T2 plants; MXV/TSA: 14%-25% greater in deep roots; MXV/TSA: 13%-18% less in shallow roots | Median MXA/RXSA: 27%-36% greater in T1 lines; 17%-25% greater in T2 lines,,"Drought Tolerance, Root Property, Root Yield",OsLHW,,CRISPR/Cas9,Knockdown/Out
8204146.pdf,10.1002/pld3.328,Oryza sativa,CRISPR/Cas9 knockout,Greater relative median MXA and less MXV in well-watered conditions,MXA/TSA: 10%-23% less in drought-treated T2 plants; MXV/TSA: 14%-25% greater in deep roots; MXV/TSA: 13%-18% less in shallow roots | Median MXA/RXSA: 27%-36% greater in T1 lines; 17%-25% greater in T2 lines,,"Drought Tolerance, Root Property, Root Yield",OsLHW,,CRISPR/Cas9,Knockdown/Out
8215294.pdf,10.1016/j.jbc.2021.100695,Arabidopsis thaliana,Site-directed mutagenesis,Redox sensitivity,Increased activity under oxidative conditions; Decreased activity under reductive conditions | Cleavage activity increased in presence of TOP1 and TOP2 | Cys-to-Ala mutants show reduced dimerization; TOP1 activity increased with oxidation | Cys-to-Ala mutants show no effect on monomerization; TOP2 activity increased with oxidation | ntrc mutants show suppressed TOP activity and SAR; OE-NTRC shows wild-type SAR,,"Gene Expression, Immune Response",TOP1,,Unknown,Modification
8215294.pdf,10.1016/j.jbc.2021.100695,Arabidopsis thaliana,Site-directed mutagenesis,Redox sensitivity,Increased activity under oxidative conditions; Decreased activity under reductive conditions | Cleavage activity increased in presence of TOP1 and TOP2 | Cys-to-Ala mutants show reduced dimerization; TOP1 activity increased with oxidation | Cys-to-Ala mutants show no effect on monomerization; TOP2 activity increased with oxidation | ntrc mutants show suppressed TOP activity and SAR; OE-NTRC shows wild-type SAR,,"Immune Response, Gene Expression",TOP1,,Unknown,Modification
8218485.pdf,10.1186/s12870-021-03094-3,Arabidopsis thaliana,Agrobacterium-mediated overexpression,"Increased salt tolerance, reduced root hair development, enhanced osmotic resistance",Germination percentage: 2x higher at 100 mM NaCl; Root length: Longer under NaCl treatment,CaMV 35S,"Salt Tolerance, Osmotic Stress Resistance",LbHLH,,Agrobacterium,Overexpression
8218485.pdf,10.1186/s12870-021-03094-3,Arabidopsis thaliana,35S promoter-mediated overexpression,"Increased salt tolerance, reduced root hair development, enhanced osmotic resistance",Germination percentage: 2x higher at 100 mM NaCl; Root length: Longer under NaCl treatment,CaMV 35S,"Salt Tolerance, Osmotic Stress Resistance",LbHLH,,Unknown,Overexpression
8220776.pdf,10.1186/s13104-021-05651-3,Solanum lycopersicum,Agrobacterium-mediated overexpression,Systemic infection of TYLCV,Symptoms observed 10 days after agroinoculation; TYLCV progeny DNA detected 6 days after agroinoculation,,Disease Resistance,TYLCV,,Agrobacterium,Overexpression
8221581.pdf,10.3389/fphys.2021.678698,Galeruca daurica,RNA interference (RNAi),Decreased expression of GdauOBP15,Relative expression level: 0.3 (female); 0.4 (male) | Relative expression level: 0.1 (female); N/A (male),,Electrophysiology,GdauOBP15,,RNAi,Knockdown/Out
8221581.pdf,10.3389/fphys.2021.678698,Galeruca daurica,RNA interference (RNAi),Decreased expression of GdauCSP5,Relative expression level: 0.3 (female); 0.4 (male) | Relative expression level: 0.1 (female); N/A (male),,Electrophysiology,GdauOBP15,,RNAi,Knockdown/Out
8231706.pdf,10.3389/fpls.2021.670209,Brassica napus,Agrobacterium-mediated transformation,Herbicide tolerance,Glyphosate tolerance; Glufosinate tolerance | Frequency of C-chromosome markers in progeny | Survival rate after glyphosate application: 90%; Survival rate after glufosinate application: 80%,CaMV35S,"Herbicide Resistance, Plant Transformation",EPSPS,,Agrobacterium,Modification
8231706.pdf,10.3389/fpls.2021.670209,Brassica napus,Agrobacterium-mediated transformation,Herbicide tolerance,Glyphosate tolerance; Glufosinate tolerance | Frequency of C-chromosome markers in progeny | Survival rate after glyphosate application: 90%; Survival rate after glufosinate application: 80%,CaMV35S,"Genome Editing, Plant Transformation",EPSPS,,Agrobacterium,Modification
8234546.pdf,10.3390/ijms22126437,Brassica rapa,Agrobacterium-mediated overexpression,Heat shock tolerance,"Survival rate: 65-89% (transgenic); 20% (control); 12% (CC1805); 0% (CC1002) | Total GSL: 22000 nmol/g DW (transgenic); 18000 nmol/g DW (control) | Heat stress: 65-89% survival (transgenic); 20% survival (control) | Holdase chaperone activity: Prevented MDH aggregation at 1:0.4 molar ratio | DEGs: 1516 (logFC ≥2, FDR <0.05) | 65–89% survival rate; 20% survival rate in controls",,"Above-Ground Biomass Property, Stress Tolerance, Thermotolerance",BrPP5.2,,Agrobacterium,Overexpression
8234546.pdf,10.3390/ijms22126437,Brassica rapa,Agrobacterium-mediated overexpression,Heat shock tolerance,"Survival rate: 65-89% (transgenic); 20% (control); 12% (CC1805); 0% (CC1002) | Total GSL: 22000 nmol/g DW (transgenic); 18000 nmol/g DW (control) | Heat stress: 65-89% survival (transgenic); 20% survival (control) | Holdase chaperone activity: Prevented MDH aggregation at 1:0.4 molar ratio | DEGs: 1516 (logFC ≥2, FDR <0.05) | 65–89% survival rate; 20% survival rate in controls",,"Chemicals, Secondary Metabolites, Glucosinolate Biosynthesis",BrPP5.2,,Agrobacterium,Overexpression
8234842.pdf,10.3390/biology10060562,Oryza sativa,Agrobacterium-mediated transformation,Increased seed longevity and dormancy,Germination ratio: 71% (25 days); 45% (100 days); Dormancy ratio: 28% (GE); 19% (non-GE) | Germination ratio increased by 27.9%; Dormancy ratio increased by 25.4%,,"Seed Property, Seed Yield, Drought Tolerance",EPSPS,,Agrobacterium,Modification
8234842.pdf,10.3390/biology10060562,Oryza sativa,Agrobacterium-mediated transformation,Increased seed longevity and dormancy,Germination ratio: 71% (25 days); 45% (100 days); Dormancy ratio: 28% (GE); 19% (non-GE) | Germination ratio increased by 27.9%; Dormancy ratio increased by 25.4%,,"Seed Property, Seed Yield",EPSPS,,Agrobacterium,Modification
8235456.pdf,10.3390/plants10061226,Arabidopsis thaliana,CRISPR/Cas9-mediated promoter modification,Improved salt stress response,Gene expression increased by 30%; Salt tolerance index improved by 25% | Leaf water potential improved by 15%; Yield increased by 10% | Photosynthetic efficiency increased by 20%; Flowering time reduced by 5 days | Improved drought tolerance during flowering stage; Increased stress memory | Increased salt tolerance; Improved drought resistance | Enhanced drought resistance in long-term memory | Increased heat resistance in long-term memory | Improved salt resistance; Enhanced drought resistance,OsRAV2,"Drought Tolerance, Salt Resistance",OsRAV2,,CRISPR/Cas9,Modification
8235456.pdf,10.3390/plants10061226,Arabidopsis thaliana,CRISPR/Cas9-mediated promoter modification,Improved salt stress response,Gene expression increased by 30%; Salt tolerance index improved by 25% | Leaf water potential improved by 15%; Yield increased by 10% | Photosynthetic efficiency increased by 20%; Flowering time reduced by 5 days | Improved drought tolerance during flowering stage; Increased stress memory | Increased salt tolerance; Improved drought resistance | Enhanced drought resistance in long-term memory | Increased heat resistance in long-term memory | Improved salt resistance; Enhanced drought resistance,OsRAV2,"Drought Tolerance, Yield Improvement",OsRAV2,,CRISPR/Cas9,Modification
8239399.pdf,10.3389/fpls.2021.639189,Arabidopsis thaliana,Agrobacterium-mediated overexpression,"Enhanced Cd tolerance, accumulation, and translocation",Cd content in roots: 0.65 mg/kg (WT) vs. 1.43 mg/kg (L1); Cd content in shoots: 0.42 mg/kg (WT) vs. 1.37 mg/kg (L1); Translocation Factor (TF): 0.61 (WT) vs. 0.86 (L1),CaMV 35S,"Phytoremediation, Heavy Metal Tolerance",BnPCS1,,Agrobacterium,Overexpression
8239399.pdf,10.3389/fpls.2021.639189,Arabidopsis thaliana,Overexpression via Agrobacterium-mediated transformation,"Enhanced Cd tolerance, accumulation, and translocation",Cd content in roots: 0.65 mg/kg (WT) vs. 1.43 mg/kg (L1); Cd content in shoots: 0.42 mg/kg (WT) vs. 1.37 mg/kg (L1); Translocation Factor (TF): 0.61 (WT) vs. 0.86 (L1),CaMV 35S,"Phytoremediation, Heavy Metal Tolerance",BnPCS1,,Agrobacterium,Overexpression
8240407.pdf,10.1186/s12870-021-03084-5,Brassica juncea,Agrobacterium-mediated overexpression,Leaf color variation,Increased anthocyanin accumulation in purple leaves; Increased expression of BjMYB113a compared to BjMYB113b and BjMYB113c | Decreased expression of BjMYB113c compared to BjMYB113a | Loss of function leading to green leaves | Anthocyanin content increased; gene expression increased | Anthocyanin content decreased; gene expression decreased,Native promoter of BjMYB113,"Above-Ground Biomass Property, Gene Expression",BjMYB113,,Agrobacterium,Overexpression
8240407.pdf,10.1186/s12870-021-03084-5,Brassica juncea,Agrobacterium-mediated overexpression,Leaf color variation,Increased anthocyanin accumulation in purple leaves; Increased expression of BjMYB113a compared to BjMYB113b and BjMYB113c | Decreased expression of BjMYB113c compared to BjMYB113a | Loss of function leading to green leaves | Anthocyanin content increased; gene expression increased | Anthocyanin content decreased; gene expression decreased,Native promoter of BjMYB113,"Leaf Property, Above-Ground Biomass Property",BjMYB113,,Agrobacterium,Overexpression
8242593.pdf,10.3389/fpls.2021.670505,Vitis vinifera,Agrobacterium-mediated transient overexpression,Enhanced resistance to Plasmopara viticola,Increased H2O2 accumulation; reduced sporangia density,35S promoter,"Disease Resistance, Pathogen Stress Response",VDAC3,,Agrobacterium,Overexpression
