Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,,Mod_Method,Mod_Direction
8287652.pdf,10.3389/fgene.2021.691382,zeugodacus cucurbitae,rnai-mediated knockdown,developmental malformation and mortality,mortality rate: 17.2% (idgf3_1); 40% (idgf4_1); 49.2% (idgf4_0); wing malformation (idgf6),,"pest resistance, disease resistance","idgfs (idgf1, idgf3_1, idgf4_0, idgf4_1, idgf6)",,rnai,modification
8306070.pdf,10.3390/microorganisms9071455,zea mays,agrobacterium-mediated overexpression,enhanced growth performance under waterlogging conditions,increased seedling height; increased root dry weight; increased primary root length | increased ascorbate biosynthesis | increased resistance to glyphosate | increased seed germination; enhanced submergence tolerance | slower germination rate; impaired rooting,,"plant transformation, stress tolerance",vhb,,agrobacterium,overexpression
8306077.pdf,10.3390/genes12071045,gossypium hirsutum,agrobacterium-mediated overexpression using the 35s promoter,increased oil biosynthesis and altered fatty acid composition,increased oil content; altered fatty acid profile with higher unsaturated fatty acids,35s promoter,"oil biosynthesis, fatty acid composition",ghdgat3d,,agrobacterium,overexpression
8308611.pdf,10.7717/peerj.11756,castanea mollissima,downregulation,ovule abortion,expression ratio: 0.7805 ± 0.0513; p value: 0.0041 | expression ratio: 0.7789 ± 0.0326; p value: 0.0002,,"plant transformation, disease resistance",tryptophan synthase,,unknown,knockdown/out
8309278.pdf,10.3390/plants10071398,physcomitrium patens,homologous recombination knockout,salt stress tolerance,higher growth rate at 250 mm nacl; increased iaa levels at 24 days | growth rate increased at 250 mm nacl; free iaa levels increased,,"drought tolerance, salt stress tolerance",ppgh3-1,,unknown,knockdown/out
8313131.pdf,10.1111/pbi.13565,oryza sativa,overexpression using 35s promoter,"reduced mechanical strength, thinner cell walls, drooping leaves, brittle culms",cellulose content: 30-35 mg/100 mg air; lignin content: decreased,35s promoter,"above-ground biomass property, mechanical strength",oshox32,,unknown,overexpression
8317267.pdf,10.3389/fmicb.2021.699783,ophiostoma novo-ulmi,homologous recombination (hr) with oscar system and hsvtk counterselection,pink colony formation,hr frequency: 10.7%; hr frequency with 2 kb homologous region: 30.1% | hr frequency: 0.2%; hr frequency with 2 kb homologous region: 0.4%,,disease resistance,ade1,,unknown,modification
8320877.pdf,10.1093/dnares/dsab008,triticum aestivum,agrobacterium tumefaciens-mediated crispr-cas9 genome editing,mutation in taqsd1 gene,100% gene editing efficiency; no off-target effects observed,,"gene expression, genome editing",taqsd1,,agrobacterium,modification
8336870.pdf,10.3389/fpls.2021.692847,arabidopsis thaliana,transgenic expression,rescue of variegation phenotype in im mutant,"rescue efficiency: 100%; gfp fluorescence intensity: high | aox1a expression: 15 rpkm; aox1b, aox1c, aox1d expression: low; ptox expression: higher",camv 35s | cauliflower mosaic virus 35s promoter,"gene expression, plant transformation","aox1a, aox1b, aox1c, aox1d, aox2",,unknown,modification
8346029.pdf,10.3390/ijms22157877,arabidopsis thaliana,agrobacterium-mediated overexpression,"improved stress tolerance, increased chlorophyll content, enhanced metabolic activity",chlorophyll content increased by 20%; biomass increased by 15% | leaf biomass increased by 25%; root biomass increased by 18%,,"drought tolerance, photosynthesis",fld (flavodoxin),,agrobacterium,overexpression
8346106.pdf,10.3390/ijms22157766,lotus japonicus,gene knockout,root nodule number; shoot fresh weight; ara per nodule fresh weight,"root nodule number: wt vs mutants; shoot fresh weight: wt vs mutants; ara per nodule fresh weight: wt vs mutants | root nodule number: wt vs. mutant (βca1-1, βca1-2, βca1-3); shoot fresh weight: wt vs. mutant | root nodule number: wt vs. mutant (αca12-1, αca12-2); shoot fresh weight: wt vs. mutant",,"symbiosis, nitrogen fixation",ljβca1,,unknown,knockdown/out
8348295.pdf,10.3390/ijms22157895,salvia miltiorrhiza,agrobacterium-mediated overexpression,root development and phenolic acid biosynthesis,root length: 20.10 ± 0.71 cm; anthocyanin content: 1.39 times control; ra content: 1.14 times control; salb content: 2.39 times control,35s promoter,"phytochemical production, root property",smspl6,,agrobacterium,overexpression
8350730.pdf,10.3389/fpls.2021.715633,brassica napus,physical mutagenesis,elevated oleic acid content,88.57%; 77.20%; 71%; 614 bp mutation | 88.57%; 77.20%; 71%; 85%; 75%,,"seed property, seed yield, material precursors, biofuel precursors",bnfad2,,unknown,modification
8351799.pdf,10.3389/fmicb.2021.693457,solanum lycopersicum,agrobacterium-mediated overexpression with hdv ribozyme,increased infectivity in nicotiana benthamiana,41.66%; 95.83%,2× camv 35s promoter,"disease resistance, plant transformation",tomato chlorosis virus rna1 and rna2,,agrobacterium,overexpression
8353158.pdf,10.3389/fpls.2021.690754,gossypium hirsutum,virus-induced gene silencing (vigs),decreased glucose content and enhanced resistance to verticillium dahliae,relative transcript levels of ghsweet42 decreased in trv:ghsweet42 plants compared to trv:00; glucose content in trv:ghsweet42 plants was significantly lower than in trv:00 plants | glucose content in ghsweet42-overexpressing plants was significantly higher than in wild-type; disease index of ghsweet42-overexpressing plants was significantly higher than in wild-type,camv 35s,disease resistance,ghsweet42,,vigs,knockdown/out
8361218.pdf,10.1016/j.isci.2021.102930,gossypium hirsutum,agrobacterium-mediated overexpression,increased fiber strength and helix number,fiber strength (cn/tex) increased by 24.0%; helix number per unit length increased by 93.2%; secondary cell wall thickness decreased by 11.71%–23.83%,,"above-ground biomass property, fiber property, fiber yield",ghubx,,agrobacterium,overexpression
8398712.pdf,10.3390/plants10081681,chrysanthemum × grandiflorum,overexpression,"flower color, plant height, leaf length, leaf width",plant height: 35.72 cm (g × r) at 60% irradiance; leaf length: increased from 100% to 40% irradiance | plant height: 42.81 cm (g × r) at 40% irradiance | lcp: 60.01 µmol·m⁻²·s⁻¹; pn: increased initially then decreased | plant height: 51.95 cm at 40% irradiance; leaf length: increased with reduced light intensity,,"flower property, above-ground biomass property",cmsvp,,unknown,overexpression
8399208.pdf,10.3390/microorganisms9081688,thermotoga neapolitana,electroporation of spheroplasts for heterologous expression of the acs gene,increased lactate production,la/aa ratio: 1.5; glucose consumption: 26.4 ± 0.3 mm,thermus thermophilus promoter,"biosensing, biofuel precursors, chemicals",acs,,unknown,modification
8400904.pdf,10.1186/s12985-021-01647-4,nicotiana glutinosa,crispr/cas9 knockout,resistance to tmv,resistance level: high; virus titer reduction: 90% | disease severity reduction: 85%; virus spread inhibition: 95%,,disease resistance,n,,crispr/cas9,knockdown/out
8401921.pdf,10.3390/plants10081747,nicotiana tabacum,agrobacterium-mediated overexpression,"increased β-1,3-glucanase activity; enhanced resistance to fungal pathogens","2.7-fold increase in dbgluc1 mrna; 1.7–2.5-fold increase in β-1,3-glucanase activity",dcamv35s,"disease resistance, genome editing, plant transformation",dbgluc1,,agrobacterium,overexpression
8402918.pdf,10.3390/v13081447,n. benthamiana,trv-based virus induced gene silencing (vigs),loss of resistance to tswv,tswv n rna accumulation; tswv n protein accumulation,,"disease resistance, plant transformation",sw-5b,,vigs,knockdown/out
8404343.pdf,10.1186/s12870-021-03179-z,nicotiana attenuata,rnai silencing,disordered emission of (z)-3-hexenyl acetate,,,"plant transformation, disease resistance",naphyb1,,rnai,knockdown/out
8415793.pdf,10.3389/fpls.2021.710754,glycine max,rnai-mediated knockdown,"increased field yield, enhanced leaf growth, improved photosynthesis",yield increase: 7.2-24.2%; chlorophyll a: 2.0 mg/g fw; chlorophyll b: 0.8 mg/g fw; carotenoids: 0.5 mg/g fw; maximum quantum yield (fv/fm): 0.7,,"above-ground biomass yield, photosynthesis",gmftl,,rnai,modification
8427143.pdf,10.3389/fpls.2021.677553,daucus carota,agrobacterium-mediated overexpression,increased carotenoid content,1.65-fold increase in total carotenoids; 2.35 μg/gfw β-carotene | 1.50-fold increase in total carotenoids; 5.47 μg/gfw β-carotene,t35s,"above-ground biomass property, nutrient utilization",dcpsy2,,agrobacterium,overexpression
8460762.pdf,10.3389/fpls.2021.712438,nicotiana benthamiana,agrobacterium-mediated transformation,above-ground biomass accumulation,"143% increase in leaf biomass; 140% increase in stem biomass | gfp: 2,496 ± 689 to 3,457 ± 401 μg/g; scfv-tm43-e10: 620 ± 195 to 971 ± 308 μg/g | leaf biomass increased by 143%; stem biomass increased by 140%; gfp concentration increased from 2,496 ± 689 μg/g to 3,457 ± 401 μg/g; scfv-tm43-e10 concentration increased from 620 ± 195 μg/g to 971 ± 308 μg/g",35s,"above-ground biomass property, recombinant protein production",at-cycd2,,agrobacterium,modification
8462816.pdf,10.1093/plcell/koab183,glycine max,crispr/cas9 knockout,reduced auxin content; decreased nodule formation,auxin content: 46%-53% reduction; nodule number: 30-100 per plant,,"disease resistance, above-ground biomass yield, plant transformation",gmpin1,,crispr/cas9,knockdown/out
8467104.pdf,10.3390/biology10090893,zea mays,agrobacterium-mediated overexpression,drought tolerance,electrolyte leakage reduced; proline accumulation increased; mda contents decreased; relative water content increased,ubiquitin promoter,"drought tolerance, above-ground biomass property",zmwrky104,,agrobacterium,overexpression
8474958.pdf,10.1186/s12934-021-01674-4,deinococcus radiodurans,calcium chloride-mediated transformation,pinene production,3.2 ± 0.2 mg/l; 0.13 ± 0.04 mg/g glycerol,"pkata, pgroe, ptufa","biofuel precursors, chemicals, pharmaceutical precursors",pinene synthase (psdr),,unknown,modification
8475269.pdf,10.3389/fmicb.2021.680658,capsicum spp.,agrobacterium-mediated expression,"pathogenicity, gene silencing, subcellular localization",increased pvx cp rna accumulation; exacerbated necrotic symptoms,35s,"disease resistance, gene expression",p0,,agrobacterium,modification
8501728.pdf,10.1186/s12870-021-03241-w,oryza sativa,agrobacterium-mediated transformation,gus activity,"500-fold induction; 1000-fold induction | 30.8% root staining; 9.2% shoot staining | fluorescence detected in leaves | 1000-fold induction in roots; 6000-fold induction | 30.8% root staining only; 9.2% shoots only; 12.5% stained shoots, roots, and callus",camv 35s | pop6,"gene expression, plant transformation",lhgr2,,agrobacterium,modification
8509836.pdf,10.3390/ijms221910740,carrot,crispr/cas9 rnp complex delivery,mutations at target sites,mutation frequency: 65-71%; single nucleotide deletions: 32-39%; insertions: 31-47%; deletions of fragments: 9-17%,,"gene expression, genome editing",f3h,,crispr/cas9,modification
8515186.pdf,10.3389/fpls.2021.745070,barley,rnai-mediated downregulation,reduced fertility,seed count: 0–28; fertility score: semi-sterile | recombination fraction (r); kosambi genetic distance (cm),barley dmc1 promoter | hvdmc1p,"gene expression, plant transformation",hvrtel1,,rnai,knockdown/out
8519309.pdf,10.3389/fpls.2021.760041,oryza sativa,crispr/cas9 knockout,reduced leaf angle,leaf inclination angle: 10° (rela mutant); 15° (rela-crispr); 30° (wild-type),osrela promoter,"leaf property, leaf yield",osrela,,crispr/cas9,knockdown/out
8525366.pdf,10.3389/fgeed.2021.629769,ocimum basilicum l.,crispr/cas9 knockout,improved downy mildew disease resistance,90% reduction in pathogen load; 96% reduction in pathogen load,,"disease resistance, plant transformation",obhsk,,crispr/cas9,knockdown/out
8525386.pdf,10.3389/fgeed.2020.622227,zea mays,agrobacterium-mediated crispr-cas9 knockout,loss of function in glossy2 gene,homozygous: 23.3%; biallelic: 43.0%; mosaic: 12.8%,maize ubiquitin promoter,"gene expression, disease resistance",gl2,,agrobacterium,knockdown/out
8525392.pdf,10.3389/fgeed.2020.627803,nicotiana benthamiana,crispr-cas9 knockout,absence of trans-acting sirna3 (tas3) sirna,,,"gene expression, disease resistance",sgs3,,crispr/cas9,knockdown/out
8533226.pdf,10.3390/biology10100952,solanum tuberosum,agrobacterium-mediated transformation using the hyper-virulent strain eha105 of agrobacterium tumefaciens,resistance to late blight,"complete resistance in vic.172; complete susceptibility in victoria | vic.172: 30.0 t/ha, 50.3 t/ha, 44.6 t/ha; victoria: 31.1 t/ha, 46.4 t/ha, 55.6 t/ha | marketable yield: 29.9-50.3 t/ha; disease severity: 0% for vic.172 vs 100% for victoria",,"disease resistance, plant transformation","rb, rpi-blb2, rpi-vnt1.1",,agrobacterium,modification
8541125.pdf,10.3390/plants10102181,arabidopsis thaliana,agrobacterium-mediated overexpression,enhanced drought tolerance,increased survival rate under drought conditions; upregulation of drought-responsive genes,35s promoter,"drought tolerance, stress response",oss1fa1,,agrobacterium,overexpression
8549818.pdf,10.3389/fpls.2021.746189,malus domestica,agrobacterium rhizogenes-mediated transformation,enhanced salt tolerance,seed germination rate increased by 20% under 200 mm nacl; root length increased by 30% under 150 mm nacl,35s,"drought tolerance, salt stress tolerance",mdccx1,,agrobacterium,modification
8555695.pdf,10.3389/fpls.2021.765173,gossypium hirsutum,overexpression via agrobacterium-mediated transformation,increased salt tolerance,root length: 3 cm (wt) vs 4 cm (oe1); chloride content: 50 mg/g (wt) vs 60 mg/g (oe1),,"disease resistance, salt tolerance",ghclcg-1,,agrobacterium,overexpression
8558203.pdf,10.1007/s00018-021-03896-6,arabidopsis thaliana,t-dna insertional knockout,delayed leaf senescence,"leaf chlorophyll content increased; photosynthetic efficiency maintained longer | leaf area decreased by 20%; chlorophyll content reduced by 30% | h₂o₂ levels decreased by 15%; lifespan extended by 10 days | senescence markers (e.g., sgr1 expression) increased by 40%; leaf area reduced by 30% | chlorophyll degradation rate decreased; leaf longevity increased | h2o2 production decreased; leaf longevity increased | dna damage accumulation increased; leaf longevity decreased",,"leaf property, leaf yield",anac072,,unknown,knockdown/out
